ID,Source,Destination,Target,Type,Delivered,Search_Path_Length,Connection_Path_Length,Search_Path,Connection_Path
6160,6,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,1,1,6>1,6>1
6161,7,8,0.580265,class peersim.dht.message.OneWayPingMessage,true,1,1,7>8,7>8
6162,6,6,0.433910,class peersim.dht.message.OneWayPingMessage,false,6,0,3>8>6>8>6>8>6,6
6163,0,0,0.718222,class peersim.dht.message.OneWayPingMessage,true,0,0,0,0
6164,2,7,0.163455,class peersim.dht.message.OneWayPingMessage,true,2,2,2>8>7,2>8>7
6165,8,8,0.718222,class peersim.dht.message.OneWayPingMessage,false,6,0,4>6>8>6>8>6>8,8
6166,3,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,4,4,3>8>2>0>1,3>8>2>0>1
6167,8,2,0.945257,class peersim.dht.message.OneWayPingMessage,true,1,1,8>2,8>2
6168,8,8,0.433910,class peersim.dht.message.OneWayPingMessage,false,8,0,5>7>8>6>8>6>8>6>8,8
6169,8,8,0.580265,class peersim.dht.message.OneWayPingMessage,true,0,0,8,8
6170,1,1,0.975288,class peersim.dht.message.OneWayPingMessage,true,0,0,1,1
6171,4,4,0.945257,class peersim.dht.message.OneWayPingMessage,false,4,0,4>1>4>1>4,4
6172,2,2,0.901112,class peersim.dht.message.OneWayPingMessage,false,8,0,3>8>2>0>2>0>2>0>2,2
6173,1,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,1,1,1>5,1>5
6174,0,9,0.433910,class peersim.dht.message.OneWayPingMessage,true,1,1,0>9,0>9
6175,8,2,0.945257,class peersim.dht.message.OneWayPingMessage,true,1,1,8>2,8>2
6176,0,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,1,1,0>5,0>5
6177,4,4,0.945257,class peersim.dht.message.OneWayPingMessage,false,6,0,7>1>4>1>4>1>4,4
6178,2,2,0.901112,class peersim.dht.message.OneWayPingMessage,false,4,0,2>0>2>0>2,2
6179,0,9,0.433910,class peersim.dht.message.OneWayPingMessage,true,1,1,0>9,0>9
6180,9,9,0.433910,class peersim.dht.message.OneWayPingMessage,true,0,0,9,9
6181,9,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,2,2,9>0>5,9>0>5
6182,6,6,0.718222,class peersim.dht.message.OneWayPingMessage,false,4,0,6>8>6>8>6,6
6183,6,8,0.580265,class peersim.dht.message.OneWayPingMessage,true,1,1,6>8,6>8
6184,4,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,4,4,4>6>8>7>5,4>6>8>7>5
6185,1,5,0.244975,class peersim.dht.message.OneWayPingMessage,true,1,1,1>5,1>5
6186,9,9,0.514105,class peersim.dht.message.OneWayPingMessage,false,4,0,9>0>9>0>9,9
6187,2,8,0.580265,class peersim.dht.message.OneWayPingMessage,true,1,1,2>8,2>8
6188,7,4,0.901112,class peersim.dht.message.OneWayPingMessage,true,2,2,7>1>4,7>1>4
6189,8,6,0.514105,class peersim.dht.message.OneWayPingMessage,true,1,1,8>6,8>6
6190,2,6,0.514105,class peersim.dht.message.OneWayPingMessage,true,2,2,2>8>6,2>8>6
6191,3,8,0.580265,class peersim.dht.message.OneWayPingMessage,true,1,1,3>8,3>8
6192,0,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,3,3,0>5>7>3,0>5>7>3
6193,0,0,0.718222,class peersim.dht.message.OneWayPingMessage,true,0,0,0,0
6194,2,8,0.580265,class peersim.dht.message.OneWayPingMessage,true,1,1,2>8,2>8
6195,9,9,0.433910,class peersim.dht.message.OneWayPingMessage,true,0,0,9,9
6196,4,3,0.149654,class peersim.dht.message.OneWayPingMessage,true,3,3,4>6>8>3,4>6>8>3
6197,4,4,0.945257,class peersim.dht.message.OneWayPingMessage,false,6,0,6>1>4>1>4>1>4,4
6198,8,8,0.433910,class peersim.dht.message.OneWayPingMessage,false,8,0,5>7>8>6>8>6>8>6>8,8
